15688,15848,2.72,83,160,160,15753
48,259,0.0,65,211,211,99
81,319,0.0,68,238,238,108
155,254,0.0,65,99,99,16
88,196,0.0,68,108,108,97
116,179,8.0,83,71,63,71
9,89,0.0,65,80,80,26
75,159,0.0,68,84,84,79
97,156,13.0,65,72,59,72
10,67,0.0,83,57,57,8
62,157,5.0,68,100,95,100
100,159,5.0,83,64,59,64
10,83,0.0,65,73,73,24
69,161,0.0,68,92,92,88
94,172,2.0,83,80,78,80
14,119,0.0,65,105,105,41
85,180,0.0,68,95,95,75
88,155,0.0,83,67,67,60
17,86,0.0,65,69,69,19
63,222,0.0,68,159,159,153
120,223,0.0,83,103,103,64
15,164,0.0,65,149,149,61
124,200,0.0,68,76,76,51
81,164,5.0,65,88,83,88
20,87,0.0,83,67,67,4
72,182,5.0,68,115,110,115
84,199,0.0,32,115,115,89
44,119,0.0,65,75,75,4
9,135,0.0,83,126,126,60
91,194,0.0,68,103,103,68
105,191,2.0,83,88,86,88
11,102,0.0,65,91,91,16
77,203,0.0,68,126,126,112
128,198,2.0,83,72,70,72
11,97,0.0,65,86,86,27
80,191,0.0,68,111,111,105
130,185,19.0,65,74,55,74
12,67,0.0,83,55,55,12
68,182,13.0,68,127,114,127
112,171,0.0,65,59,59,57
4,83,0.0,83,79,79,24
84,151,5.0,68,72,67,72
86,168,19.0,65,101,82,101
7,89,0.0,83,82,82,7
80,189,0.0,68,109,109,107
105,172,0.0,83,67,67,63
12,107,0.0,65,95,95,40
128,271,33.0,32,176,143,176
40,150,0.0,83,110,110,7
20,135,0.0,65,115,115,25
88,228,0.0,67,140,140,113
